timestamp,model,call_type,in_tokens,out_tokens,latency_ms,usd,query_id,iteration,policy
2026-08-31T05:46:12.975344+00:00,gemini-2.5-flash,generate,6,1,4208.638099999916,4.3e-06,preflight,0,
2026-08-31T05:46:17.362809+00:00,gemini-embedding-001,embed,4,0,694.630099999813,6e-07,,0,preflight
2026-08-31T06:09:50.443950+00:00,gemini-3.5-flash-lite,generate,6,1,1117.343400000209,4.3e-06,preflight,0,
2026-08-31T06:51:51.907485+00:00,gemini-embedding-001,embed,210,0,1075.3771999998207,3.149999999999999e-05,,0,ingest
2026-08-31T06:51:52.809490+00:00,gemini-embedding-001,embed,150,0,898.4275000002526,2.2499999999999998e-05,,0,ingest
2026-08-31T06:51:53.488451+00:00,gemini-embedding-001,embed,164,0,675.4233000001477,2.4599999999999998e-05,,0,ingest
2026-08-31T06:51:54.230591+00:00,gemini-embedding-001,embed,116,0,739.5978999993531,1.74e-05,,0,ingest
2026-08-31T06:51:55.470421+00:00,gemini-embedding-001,embed,272,0,1236.5444999995816,4.08e-05,,0,ingest
2026-08-31T06:51:56.693142+00:00,gemini-embedding-001,embed,169,0,1218.9127999999982,2.535e-05,,0,ingest
2026-08-31T06:51:57.376374+00:00,gemini-embedding-001,embed,49,0,678.1814000005397,7.35e-06,,0,ingest
2026-08-31T06:51:58.131343+00:00,gemini-embedding-001,embed,106,0,749.964299999192,1.5899999999999997e-05,,0,ingest
2026-08-31T06:51:58.815284+00:00,gemini-embedding-001,embed,131,0,680.2653000004284,1.965e-05,,0,ingest
2026-08-31T06:51:59.790057+00:00,gemini-embedding-001,embed,74,0,970.5352999999377,1.1099999999999999e-05,,0,ingest
2026-08-31T06:52:00.491753+00:00,gemini-embedding-001,embed,155,0,698.9591999999902,2.325e-05,,0,ingest
2026-08-31T06:52:01.439825+00:00,gemini-embedding-001,embed,251,0,945.0155999993513,3.7649999999999994e-05,,0,ingest
2026-08-31T06:52:02.190444+00:00,gemini-embedding-001,embed,132,0,745.6883000004382,1.98e-05,,0,ingest
2026-08-31T06:52:03.096305+00:00,gemini-embedding-001,embed,259,0,901.6698999994333,3.8849999999999996e-05,,0,ingest
2026-08-31T06:52:03.860762+00:00,gemini-embedding-001,embed,134,0,761.3688999999795,2.01e-05,,0,ingest
2026-08-31T06:52:04.544672+00:00,gemini-embedding-001,embed,72,0,680.8323000004748,1.0799999999999998e-05,,0,ingest
2026-08-31T06:52:05.281724+00:00,gemini-embedding-001,embed,133,0,732.6874000000316,1.995e-05,,0,ingest
2026-08-31T06:52:05.963273+00:00,gemini-embedding-001,embed,128,0,676.5435000006619,1.92e-05,,0,ingest
2026-08-31T06:52:06.643632+00:00,gemini-embedding-001,embed,97,0,676.9031000003451,1.455e-05,,0,ingest
2026-08-31T06:52:07.536818+00:00,gemini-embedding-001,embed,156,0,887.9517000004853,2.34e-05,,0,ingest
2026-08-31T06:52:08.458091+00:00,gemini-embedding-001,embed,251,0,916.8245000000752,3.7649999999999994e-05,,0,ingest
2026-08-31T06:52:09.208681+00:00,gemini-embedding-001,embed,70,0,747.4065999995219,1.05e-05,,0,ingest
2026-08-31T06:52:09.893894+00:00,gemini-embedding-001,embed,144,0,680.9316000008039,2.1599999999999996e-05,,0,ingest
2026-08-31T06:52:10.649975+00:00,gemini-embedding-001,embed,169,0,753.2068999998955,2.535e-05,,0,ingest
2026-08-31T06:52:11.582918+00:00,gemini-embedding-001,embed,205,0,929.3569999999818,3.0749999999999995e-05,,0,ingest
2026-08-31T06:52:12.529413+00:00,gemini-embedding-001,embed,191,0,941.2566999999399,2.865e-05,,0,ingest
2026-08-31T06:52:13.463961+00:00,gemini-embedding-001,embed,166,0,930.3608999998687,2.49e-05,,0,ingest
2026-08-31T06:52:14.355116+00:00,gemini-embedding-001,embed,202,0,886.6763000005449,3.0299999999999998e-05,,0,ingest
2026-08-31T06:52:15.532315+00:00,gemini-embedding-001,embed,162,0,1172.2900999993726,2.4299999999999998e-05,,0,ingest
2026-08-31T06:52:16.475016+00:00,gemini-embedding-001,embed,169,0,939.8664000000281,2.535e-05,,0,ingest
2026-08-31T06:52:17.401133+00:00,gemini-embedding-001,embed,146,0,922.5353000001633,2.1899999999999997e-05,,0,ingest
2026-08-31T06:52:18.593079+00:00,gemini-embedding-001,embed,241,0,1187.6751999998305,3.615e-05,,0,ingest
2026-08-31T06:52:19.819324+00:00,gemini-embedding-001,embed,140,0,1221.2626000000455,2.1e-05,,0,ingest
2026-08-31T06:52:20.487353+00:00,gemini-embedding-001,embed,118,0,664.9459000000206,1.7699999999999997e-05,,0,ingest
2026-08-31T06:52:22.410009+00:00,gemini-embedding-001,embed,265,0,1918.9639999995052,3.975e-05,,0,ingest
